flybase_gene_id	gene_name	chromosome	start	end	gene_length
FBgn0011276	HLH3B	X	2680199	2681723	1428
FBgn0025838	CG2652	X	2681987	2682932	946
FBgn0003068	per	X	2685580	2692780	4527
FBgn0000092	dyw	X	2692732	2693886	1013
FBgn0024992	Spg7	X	2694392	2698211	3360
FBgn0024993	Lint-O	X	2698701	2701033	1765
FBgn0024994	Ugalt	X	2701124	2703852	2217
FBgn0024996	eIF2Bbeta	X	2704571	2706217	1357
FBgn0024997	CG2681	X	2708684	2711668	2283
FBgn0024998	CG2685	X	2711756	2713960	1952
FBgn0024991	CG2694	X	2714079	2717654	3152
FBgn0024973	CG2701	X	2717638	2720327	2425
FBgn0000928	fs(1)Yb	X	2720468	2724158	3502
FBgn0000927	fs(1)Ya	X	2724286	2726577	2235
FBgn0283545	vilya	X	2726678	2727568	827
FBgn0000520	dwg	X	2727698	2730042	2002
FBgn0250874	ttm50	X	2730077	2732190	1868
FBgn0024975	CG2712	X	2732469	2734402	1804
FBgn0000376	crm	X	2734248	2738773	3886
FBgn0024980	Syx4	X	2739089	2744076	1709
FBgn0028369	kirre	X	2740384	3134532	7853
FBgn0040384	CG32795	X	2782906	2790567	2365
FBgn0003996	w	X	2790599	2796466	2352
FBgn0040356	CG12498	X	2809881	2810846	966
FBgn0040354	CG14418	X	2882226	2883661	1352
FBgn0040355	CG3526	X	2890768	2894232	1200
FBgn0025643	CG3588	X	2919770	2924426	3438
FBgn0025644	CG14424	X	2925884	2927258	1046
FBgn0052793	CG32793	X	2929796	2932626	2687
FBgn0029643	CG14420	X	2938856	2940527	1570
FBgn0029648	CG3603	X	2948034	2949120	1018
FBgn0003285	rst	X	2950399	2973834	6251
FBgn0004647	N	X	3134870	3172221	10150
FBgn0028746	CG18508	X	3172268	3173140	816
FBgn0040396	CG3939	X	3175018	3176223	931
FBgn0000479	dnc	X	3176440	3343767	16683
FBgn0003374	Sgs4	X	3250089	3251040	952
FBgn0288967	CG10793	X	3314744	3316402	1659
FBgn0262656	Myc	X	3373159	3391697	9170
FBgn0029657	CG12535	X	3387944	3448943	6541
FBgn0029658	CG14269	X	3434943	3435807	865
FBgn0029659	CG16782	X	3459016	3460240	1155
FBgn0029660	CG10801	X	3460592	3462500	1758
FBgn0029661	CG16781	X	3462474	3464044	1518
FBgn0029662	CG12206	X	3465737	3474524	2732
FBgn0029663	CG10804	X	3476463	3482322	4822
FBgn0029664	CG10802	X	3482965	3484555	1472
FBgn0029665	CG14270	X	3484605	3485378	774
FBgn0029666	CG10803	X	3485650	3490915	4906
FBgn0029667	Gas8	X	3491011	3504851	2289
FBgn0052791	DIP-alpha	X	3507245	3571649	8983
FBgn0029669	CG13021	X	3514316	3515757	632
FBgn0052792	ppk8	X	3557812	3572000	2071
FBgn0029672	CG2875	X	3571456	3573622	1978
FBgn0266429	AstA-R1	X	3574536	3666724	3704
FBgn0044046	Ilp7	X	3667621	3668845	1044
FBgn0023216	Parg	X	3668837	3671502	2599
FBgn0023215	Mnt	X	3671801	3701672	4556
FBgn0015286	Rala	X	3704610	3719635	2751
FBgn0283657	Tlk	X	3720007	3789770	11568
FBgn0029676	HIP-R	X	3789969	3792477	2138
FBgn0021738	Crg-1	X	3793223	3797339	1230
FBgn0053221	CR33221	X	3797497	3799028	1532
FBgn0260484	HIP	X	3799150	3801570	2050
FBgn0264954	fd3F	X	3802316	3811040	3007
FBgn0000542	ec	X	3811698	3857621	8400
FBgn0029679	CG2901	X	3828197	3831546	2721
FBgn0265575	yin	X	3862966	3871939	3278
FBgn0028491	CG2930	X	3868973	3880379	4990
FBgn0285910	VhaAC39-1	X	3880748	3882967	1792
FBgn0029681	CG15239	X	3884168	3890486	1997
FBgn0260658	CG42541	X	3891497	3930578	9707
FBgn0029685	CG2938	X	3932000	3936469	3915
FBgn0029686	Glos	X	3936517	3940582	3954
FBgn0052783	Gem4c	X	3945043	3948460	3306
FBgn0029687	Vap33	X	3948975	3955442	3897
FBgn0029688	lva	X	3955543	3965327	9245
FBgn0029689	CG6428	X	3965435	3968655	2699
FBgn0029690	CG6414	X	3968788	3971350	2081
FBgn0263772	CG43689	X	4075743	4092237	7756
FBgn0029693	Cmtr1	X	4097592	4101031	3339
FBgn0029694	CG15375	X	4101318	4102995	1232
FBgn0004832	Xpac	X	4102955	4104197	1178
FBgn0000221	brn	X	4104342	4105791	1450
FBgn0026084	cib	X	4106113	4110981	1771
FBgn0026079	Nsun2	X	4111156	4113734	2444
FBgn0026085	dgt4	X	4113701	4114929	1101
FBgn0026080	Tip60	X	4114800	4117487	2413
FBgn0026083	tyf	X	4117020	4130016	11456
FBgn0066114	GlcAT-I	X	4131211	4132833	1560
FBgn0000635	Fas2	X	4132887	4206093	7306
FBgn0029697	CG15570	X	4218170	4223331	4278
FBgn0052774	Muc4B	X	4244095	4246139	1987
FBgn0029701	CG12691	X	4266097	4266669	573
FBgn0029702	CG15572	X	4268701	4271083	2383
FBgn0040904	CG15577	X	4276493	4277000	508
FBgn0040905	CG15578	X	4277547	4277961	415
FBgn0040906	CG15579	X	4311279	4311799	521
FBgn0002707	mei-9	X	4314230	4318801	3606
FBgn0266570	NO66	X	4319438	4321745	2246
FBgn0040907	mRpL33	X	4321764	4322231	349
FBgn0262738	norpA	X	4322626	4365408	8296
FBgn0029705	CG12693	X	4327080	4329457	1643
FBgn0029706	CG3626	X	4366417	4371136	3785
FBgn0000179	bi	X	4412856	4485647	6095
FBgn0029708	CG3556	X	4530231	4535464	4050
FBgn0003210	rb	X	4535635	4540626	4813
FBgn0029709	CHOp24	X	4540908	4542506	1172
FBgn0029710	CG3568	X	4542630	4544497	1693
FBgn0029711	Usf	X	4544617	4548794	3617
FBgn0029712	CG15912	X	4549070	4549957	888
FBgn0029713	CG11436	X	4549883	4551878	1996
FBgn0029714	CG3527	X	4551973	4553006	970
FBgn0029715	CG11444	X	4553117	4554398	1282
FBgn0003053	peb	X	4617564	4627206	7446
FBgn0025387	Alms1b	X	4627380	4630936	3310
FBgn0025388	Alms1a	X	4631052	4636004	4689
FBgn0025739	pon	X	4636318	4639112	2601
FBgn0029718	mRpL30	X	4647871	4648646	696
FBgn0025615	Torsin	X	4648592	4650032	1383
FBgn0022942	Cbp80	X	4650015	4658259	3271
FBgn0029719	CG15473	X	4651955	4654497	2292
FBgn0029720	CG3009	X	4658158	4666700	2475
FBgn0262699	fzr	X	4667290	4679537	2789
FBgn0022768	Pp2C1	X	4679988	4686903	5675
FBgn0011760	ctp	X	4687800	4702034	4645
FBgn0028325	Pdha	X	4702284	4705265	2151
FBgn0029722	CG7024	X	4705309	4707504	1878
FBgn0029723	Proc-R	X	4707916	4729487	3780
FBgn0029728	CG2861	X	4797231	4804862	6027
FBgn0260971	CG42594	X	4840833	4906575	5127
FBgn0029733	CG6927	X	4906900	4908821	1868
FBgn0052772	CG32772	X	4909102	4915161	3368
FBgn0029736	CG4041	X	4915280	4918447	2723
FBgn0029737	Hgsnat	X	4918730	4921648	2313
FBgn0266000	CG44774	X	4926664	4938105	4213
FBgn0004368	Ptp4E	X	4939128	4955916	7229
FBgn0061196	CG15468	X	4959929	4961128	1200
FBgn0003028	ovo	X	5048273	5070929	7400
FBgn0052767	CG32767	X	5071027	5084768	11634
FBgn0029746	CG15465	X	5085759	5254864	19353
FBgn0266098	rg	X	5085759	5254864	20508
FBgn0029745	Rpn13R	X	5131898	5132985	1088
FBgn0029747	CG5062	X	5180182	5182369	2124
FBgn0261803	CG42749	X	5296066	5306288	1812
FBgn0029750	CG3323	X	5302988	5305691	2628
FBgn0263237	Cdk7	X	5307465	5308983	1448
FBgn0003449	snf	X	5309242	5310501	835
FBgn0029752	TrxT	X	5310581	5311888	1108
FBgn0029754	CG15930	X	5315130	5317295	1883
FBgn0029755	Sas10	X	5317409	5319071	1663
FBgn0014024	Rnp4F	X	5318928	5322696	3323
FBgn0284442	Mcm3	X	5323855	5326738	2747
FBgn0029756	CG3309	X	5326675	5329347	2614
FBgn0026751	XRCC1	X	5329876	5332435	2319
FBgn0010014	CanB	X	5332499	5334449	1234
FBgn0029761	SK	X	5340236	5405138	10891
FBgn0029762	NAAT1	X	5405238	5410849	2485
FBgn0263987	spoon	X	5412386	5420867	5705
FBgn0029763	Usp16-45	X	5421533	5427219	4784
FBgn0029765	CG16756	X	5427517	5428217	521
FBgn0029766	CG15784	X	5429571	5432526	2956
FBgn0029768	SPR	X	5446656	5494012	3730
FBgn0029771	CG12730	X	5516608	5518771	1892
FBgn0250904	CG34434	X	5614554	5616370	1691
FBgn0029778	RhoGAP5A	X	5616572	5618806	1933
FBgn0004687	Mlc-c	X	5619136	5622539	1399
FBgn0026702	Pop1	X	5622648	5625493	2779
FBgn0259994	OtopLa	X	5625676	5648487	7548
FBgn0259150	OtopLc	X	5650567	5662861	8159
FBgn0029783	Sirt4	X	5664628	5665940	1253
FBgn0028474	CG4119	X	5666052	5670652	3857
FBgn0015794	Rab18	X	5670827	5671812	833
FBgn0029785	RpL35	X	5672401	5673547	732
FBgn0046687	Tre1	X	5673830	5679977	1838
FBgn0003747	Gr5a	X	5680617	5682488	1490
FBgn0259926	CG42449	X	5683240	5684456	1217
FBgn0029789	PGAP1	X	5685253	5689473	3674
FBgn0000394	cv	X	5690002	5693084	2053
FBgn0027564	CG3149	X	5692945	5695205	2020
FBgn0029791	AdamTS-B	X	5698557	5708633	3992
FBgn0053080	CG33080	X	5708559	5717778	3705
FBgn0052758	Snx27	X	5719374	5738031	4568
FBgn0029795	CG15773	X	5732740	5734614	1786
FBgn0261383	IntS6	X	5738663	5747254	6250
FBgn0029798	Rtel1	X	5747747	5752077	3603
FBgn0029799	CG15772	X	5752249	5754041	1691
FBgn0029800	lin-52	X	5753390	5754958	1360
FBgn0029801	CG15771	X	5755574	5759751	2923
FBgn0013987	MAPk-Ak2	X	5759908	5764203	2198
FBgn0261610	CG42699	X	5764553	5789576	4296
FBgn0029804	CG3097	X	5765855	5770780	1983
FBgn0259149	CG42264	X	5773023	5776647	2087
FBgn0029807	CG3108	X	5777195	5781620	3578
FBgn0029809	CG15767	X	5789487	5790919	1433
FBgn0029810	CG12239	X	5792140	5794543	2343
FBgn0029813	AgmNAT	X	5814864	5815820	957
FBgn0029814	CG15765	X	5818559	5840823	4388
FBgn0029817	CG15764	X	5869095	5870266	1172
FBgn0029818	GAA1	X	5870841	5873357	2388
FBgn0014340	mof	X	5873840	5876853	3014
FBgn0029819	Usp30	X	5877000	5879787	2436
FBgn0029820	CG16721	X	5879869	5883391	2697
FBgn0000042	Act5C	X	5900861	5905399	2978
FBgn0029821	CG4020	X	5905746	5908001	1886
FBgn0029822	CG12236	X	5908135	5913079	3692
FBgn0029823	Shmt	X	5913067	5916797	2518
FBgn0029824	CG3726	X	5917097	5941852	3152
FBgn0029825	CG12728	X	5942606	5945250	2374
FBgn0052756	CG32756	X	5945682	5948353	2397
FBgn0029826	CG6041	X	5948160	5950208	1109
FBgn0052755	CG32755	X	5950251	5951711	1347
FBgn0029827	CG6048	X	5952565	5954046	1158
FBgn0029830	Grip	X	5966279	5986699	3764
FBgn0029831	CG5966	X	5988791	5992640	3751
FBgn0029003	mab-21	X	6008183	6013181	2082
FBgn0003302	rux	X	6035753	6037800	1463
FBgn0029833	MCTS1	X	6037892	6039576	1245
FBgn0029834	CG5937	X	6040005	6050381	8374
FBgn0029835	CG5921	X	6050828	6065646	4668
FBgn0029838	CG4666	X	6076072	6077786	1363
FBgn0029839	CG4660	X	6078708	6081372	1275
FBgn0029840	raptor	X	6082634	6090201	7097
FBgn0026060	Mipp2	X	6082709	6091471	2458
FBgn0029843	Nep1	X	6091205	6103971	4793
FBgn0264386	Ca-alpha1T	X	6104085	6192483	13140
FBgn0029848	Btnd	X	6217268	6219327	1907
FBgn0029849	Efr	X	6219957	6222719	1896
FBgn0003514	sqh	X	6223061	6225140	1578
FBgn0262730	dtn	X	6225647	6236218	9655
FBgn0029851	CG14445	X	6237315	6240558	1686
FBgn0023458	Rbcn-3A	X	6240745	6255487	11139
FBgn0015818	Spx	X	6255822	6257596	1643
FBgn0040918	schlank	X	6257668	6267228	2487
FBgn0029853	Josd	X	6261169	6262119	951
FBgn0028982	Spt6	X	6267797	6274984	6166
FBgn0029854	CG3566	X	6274972	6276724	1607
FBgn0086558	Ubi-p5E	X	6276876	6279647	2390
FBgn0052745	CR32745	X	6280233	6280752	471
FBgn0029856	CG11700	X	6282037	6283575	1362
FBgn0026015	Top3beta	X	6284138	6287990	3296
FBgn0029857	wuho	X	6288100	6289562	1463
FBgn0028685	Rpt4	X	6289470	6291245	1465
FBgn0029858	mldr	X	6291303	6294177	2809
FBgn0029859	CG15892	X	6293106	6294343	1173
FBgn0029860	CG15891	X	6294517	6295345	829
FBgn0029861	CG3815	X	6295389	6298970	3232
FBgn0043796	CG12219	X	6299054	6301285	2018
FBgn0029864	CG15894	X	6309212	6329828	7435
FBgn0250869	CG42240	X	6330842	6333028	2187
FBgn0029866	CG3842	X	6337762	6343731	2751
FBgn0029867	CG3847	X	6347103	6349236	2134
FBgn0029868	ND-B16.6	X	6349016	6350401	1265
FBgn0261955	kdn	X	6350629	6361323	2836
FBgn0016974	swaPsi	X	6361496	6363310	1547
FBgn0003655	swa	X	6363418	6365708	2022
FBgn0029870	Marf	X	6365949	6370924	3617
FBgn0003139	PpV	X	6371065	6372915	1675
FBgn0259242	CG42340	X	6423123	6524323	6885
FBgn0029873	CG3918	X	6524464	6526342	1808
FBgn0029874	CG3342	X	6526106	6527888	1709
FBgn0014031	Agxt	X	6528948	6530726	1410
FBgn0014026	RpL7A	X	6530897	6533348	1315
FBgn0000524	dx	X	6533999	6538575	3828
FBgn0085446	CG34417	X	6540771	6589173	20162
FBgn0029877	CG17717	X	6589290	6590646	1092
FBgn0029878	Pat1	X	6590776	6596954	3716
FBgn0029879	APC7	X	6597088	6599699	2312
FBgn0029881	pigs	X	6600062	6653015	6721
FBgn0029880	CG14443	X	6633959	6636169	2211
FBgn0029882	CG3226	X	6653113	6654248	894
FBgn0028360	Cdc7	X	6654541	6659709	3103
FBgn0029885	CG3224	X	6660552	6661462	851
FBgn0062413	Ctr1A	X	6661647	6668258	2333
FBgn0029887	CG3198	X	6668539	6673973	4996
FBgn0025815	Mcm6	X	6674387	6677176	2790
FBgn0029888	ND-ASHI	X	6677262	6679118	1384
FBgn0286222	Fum1	X	6678424	6681845	1861
FBgn0029890	Fum2	X	6681767	6683696	1647
FBgn0029891	Pink1	X	6683798	6687302	3239
FBgn0265362	CG44303	X	6686963	6687420	398
FBgn0029892	CG3184	X	6687596	6688774	1179
FBgn0029893	CG14442	X	6689296	6695007	5042
FBgn0029894	CG14440	X	6695866	6698567	2702
FBgn0029895	CG14441	X	6699508	6719389	7236
FBgn0029896	CG3168	X	6720004	6739986	5171
FBgn0029897	RpL17	X	6741537	6744238	1119
